Cause	Effect
EG11966	G6786
G0-9941	EG11966
EG10230	G0-9941
EG12094	G0-9941
EG10338	G0-9941
EG10457	EG11966
EG10166	EG10457
EG10317	EG10457
EG12243	EG10457
G7047	EG10457
EG10457	EG10457
EG10821	G6786
EG10457	EG10821
EG10166	EG10457
EG10317	EG10457
EG12243	EG10457
G7047	EG10457
EG10457	EG10457
EG12243	G6786
EG11966	EG12243
G0-9941	EG11966
EG10457	EG11966
EG10061	EG12243
EG10061	EG10061
EG10325	EG10061
G0-8914	EG12243
EG10935	G0-8914
EG10821	G0-8914
EG12243	G0-8914
EG10547	G0-8914
EG12242	G0-8914
EG10728	EG12243
EG10728	EG10728
G7072	EG10728
EG12243	EG12243
EG11966	EG12243
EG10061	EG12243
G0-8914	EG12243
EG10728	EG12243
EG12243	EG12243
EG11544	EG12243
EG12386	EG12243
EG10821	EG12243
EG10317	EG12243
EG12615	EG12243
EG10164	EG12243
EG12301	EG12243
EG12242	EG12243
EG10457	EG12243
EG10325	EG12243
G7072	EG12243
EG11544	EG12243
G0-10694	EG11544
EG10061	EG11544
EG10731	EG11544
EG12243	EG11544
EG12242	EG11544
EG11544	EG11544
EG11609	EG11544
G6789	EG11544
G7072	EG11544
EG11356	EG11544
EG10457	EG11544
EG10164	EG11544
EG12386	EG12243
EG10821	EG12243
EG10457	EG10821
EG10317	EG12243
EG10440	EG10317
EG10441	EG10317
EG10900	EG10317
EG10230	EG10317
EG10164	EG10317
EG10317	EG10317
EG12615	EG12243
EG12615	EG12615
EG10164	EG12243
EG10338	EG10164
EG10164	EG10164
EG10317	EG10164
EG12301	EG12243
EG12301	EG12301
EG12242	EG12243
EG10935	EG12242
EG10731	EG12242
G0-8914	EG12242
EG10728	EG12242
EG11544	EG12242
G6789	EG12242
EG12243	EG12242
EG12301	EG12242
EG12242	EG12242
EG10457	EG12242
EG10325	EG12242
EG10547	EG12242
EG12386	EG12242
EG10457	EG12243
EG10166	EG10457
EG10317	EG10457
EG12243	EG10457
G7047	EG10457
EG10457	EG10457
EG10325	EG12243
EG10440	EG10325
EG10441	EG10325
EG10359	EG10325
EG10325	EG10325
EG10061	EG10325
G7072	EG12243
EG10385	G7072
EG10547	G7072
EG10359	G7072
EG10325	G7072
G7072	G7072
EG11544	G6786
G0-10694	EG11544
EG10061	EG11544
EG10061	EG10061
EG10325	EG10061
EG10731	EG11544
G0-8867	EG10731
G0-8866	EG10731
EG10731	EG10731
EG12243	EG11544
EG11966	EG12243
EG10061	EG12243
G0-8914	EG12243
EG10728	EG12243
EG12243	EG12243
EG11544	EG12243
EG12386	EG12243
EG10821	EG12243
EG10317	EG12243
EG12615	EG12243
EG10164	EG12243
EG12301	EG12243
EG12242	EG12243
EG10457	EG12243
EG10325	EG12243
G7072	EG12243
EG12242	EG11544
EG10935	EG12242
EG10731	EG12242
G0-8914	EG12242
EG10728	EG12242
EG11544	EG12242
G6789	EG12242
EG12243	EG12242
EG12301	EG12242
EG12242	EG12242
EG10457	EG12242
EG10325	EG12242
EG10547	EG12242
EG12386	EG12242
EG11544	EG11544
G0-10694	EG11544
EG10061	EG11544
EG10731	EG11544
EG12243	EG11544
EG12242	EG11544
EG11544	EG11544
EG11609	EG11544
G6789	EG11544
G7072	EG11544
EG11356	EG11544
EG10457	EG11544
EG10164	EG11544
EG11609	EG11544
EG11609	EG11609
EG10457	EG11609
G7072	EG11609
G6789	EG11544
EG10821	G6789
EG11609	G6789
EG12386	G6789
G6789	G6789
EG10731	G6789
EG10457	G6789
G7072	EG11544
EG10385	G7072
EG10547	G7072
EG10359	G7072
EG10325	G7072
G7072	G7072
EG11356	EG11544
EG10457	EG11356
EG10320	EG11356
EG10319	EG11356
EG10440	EG11356
EG10441	EG11356
G6745	EG11356
G6546	EG11356
G6165	EG11356
EG11212	EG11356
EG10457	EG11544
EG10166	EG10457
EG10317	EG10457
EG12243	EG10457
G7047	EG10457
EG10457	EG10457
EG10164	EG11544
EG10338	EG10164
EG10164	EG10164
EG10317	EG10164
EG11356	G6786
EG10457	EG11356
EG10166	EG10457
EG10317	EG10457
EG12243	EG10457
G7047	EG10457
EG10457	EG10457
EG10320	EG11356
G0-8899	EG10320
EG10457	EG10320
EG10164	EG10320
G7575	EG10320
G0-8882	EG10320
G0-8868	EG10320
G0-8871	EG10320
EG31116	EG10320
EG12116	EG10320
G7947	EG10320
EG11356	EG10320
G6165	EG10320
EG10672	EG10320
EG12123	EG10320
EG11449	EG10320
EG10821	EG10320
EG10820	EG10320
EG10359	EG10320
EG10440	EG10320
EG10441	EG10320
EG10319	EG11356
G0-8899	EG10319
EG10457	EG10319
EG10164	EG10319
G7575	EG10319
G0-8882	EG10319
G0-8868	EG10319
G0-8871	EG10319
EG31116	EG10319
EG12116	EG10319
G7947	EG10319
EG11356	EG10319
G6165	EG10319
EG10672	EG10319
EG12123	EG10319
EG11449	EG10319
EG10821	EG10319
EG10820	EG10319
EG10359	EG10319
EG10440	EG10319
EG10441	EG10319
EG10440	EG11356
EG10230	EG10440
EG11212	EG10440
EG10440	EG10440
EG10441	EG10440
EG10441	EG11356
EG10440	EG10441
EG10441	EG10441
EG10230	EG10441
G6745	EG11356
G6745	G6745
G6546	EG11356
EG10125	G6546
G6444	G6546
EG11615	G6546
EG10338	G6546
EG12008	G6546
EG10440	G6546
EG10441	G6546
EG10672	G6546
G6546	G6546
EG10164	G6546
G0-8880	G6546
G0-10592	G6546
G0-8867	G6546
G0-8863	G6546
G0-8899	G6546
G0-8882	G6546
G0-8868	G6546
EG12006	G6546
EG10457	G6546
G7571	G6546
EG10020	G6546
EG10821	G6546
EG10820	G6546
G6864	G6546
EG11356	G6546
G6165	EG11356
G6165	G6165
EG11212	EG11356
EG12242	G6786
EG10935	EG12242
EG10215	EG10935
G7072	EG10935
EG11447	EG10935
EG10731	EG12242
G0-8867	EG10731
G0-8866	EG10731
EG10731	EG10731
G0-8914	EG12242
EG10935	G0-8914
EG10821	G0-8914
EG12243	G0-8914
EG10547	G0-8914
EG12242	G0-8914
EG10728	EG12242
EG10728	EG10728
G7072	EG10728
EG11544	EG12242
G0-10694	EG11544
EG10061	EG11544
EG10731	EG11544
EG12243	EG11544
EG12242	EG11544
EG11544	EG11544
EG11609	EG11544
G6789	EG11544
G7072	EG11544
EG11356	EG11544
EG10457	EG11544
EG10164	EG11544
G6789	EG12242
EG10821	G6789
EG11609	G6789
EG12386	G6789
G6789	G6789
EG10731	G6789
EG10457	G6789
EG12243	EG12242
EG11966	EG12243
EG10061	EG12243
G0-8914	EG12243
EG10728	EG12243
EG12243	EG12243
EG11544	EG12243
EG12386	EG12243
EG10821	EG12243
EG10317	EG12243
EG12615	EG12243
EG10164	EG12243
EG12301	EG12243
EG12242	EG12243
EG10457	EG12243
EG10325	EG12243
G7072	EG12243
EG12301	EG12242
EG12301	EG12301
EG12242	EG12242
EG10935	EG12242
EG10731	EG12242
G0-8914	EG12242
EG10728	EG12242
EG11544	EG12242
G6789	EG12242
EG12243	EG12242
EG12301	EG12242
EG12242	EG12242
EG10457	EG12242
EG10325	EG12242
EG10547	EG12242
EG12386	EG12242
EG10457	EG12242
EG10166	EG10457
EG10317	EG10457
EG12243	EG10457
G7047	EG10457
EG10457	EG10457
EG10325	EG12242
EG10440	EG10325
EG10441	EG10325
EG10359	EG10325
EG10325	EG10325
EG10061	EG10325
EG10547	EG12242
EG11544	EG10547
G7047	EG10547
EG30063	EG10547
G0-8867	EG10547
EG10457	EG10547
EG11212	EG10547
EG10547	EG10547
G7072	EG10547
EG10070	EG10547
EG12386	EG12242
EG10317	G6786
EG10440	EG10317
EG10230	EG10440
EG11212	EG10440
EG10440	EG10440
EG10441	EG10440
EG10441	EG10317
EG10440	EG10441
EG10441	EG10441
EG10230	EG10441
EG10900	EG10317
EG10230	EG10900
EG10900	EG10900
EG10230	EG10317
EG10164	EG10230
EG10230	EG10230
EG10164	EG10317
EG10338	EG10164
EG10164	EG10164
EG10317	EG10164
EG10317	EG10317
EG10440	EG10317
EG10441	EG10317
EG10900	EG10317
EG10230	EG10317
EG10164	EG10317
EG10317	EG10317
EG10164	G6786
EG10338	EG10164
EG10728	EG10338
EG10164	EG10164
EG10338	EG10164
EG10164	EG10164
EG10317	EG10164
EG10317	EG10164
EG10440	EG10317
EG10441	EG10317
EG10900	EG10317
EG10230	EG10317
EG10164	EG10317
EG10317	EG10317
EG11966	EG11490
G0-9941	EG11966
EG10230	G0-9941
EG12094	G0-9941
EG10338	G0-9941
EG10457	EG11966
EG10166	EG10457
EG10317	EG10457
EG12243	EG10457
G7047	EG10457
EG10457	EG10457
EG10821	EG11490
EG10457	EG10821
EG10166	EG10457
EG10317	EG10457
EG12243	EG10457
G7047	EG10457
EG10457	EG10457
EG12243	EG11490
EG11966	EG12243
G0-9941	EG11966
EG10457	EG11966
EG10061	EG12243
EG10061	EG10061
EG10325	EG10061
G0-8914	EG12243
EG10935	G0-8914
EG10821	G0-8914
EG12243	G0-8914
EG10547	G0-8914
EG12242	G0-8914
EG10728	EG12243
EG10728	EG10728
G7072	EG10728
EG12243	EG12243
EG11966	EG12243
EG10061	EG12243
G0-8914	EG12243
EG10728	EG12243
EG12243	EG12243
EG11544	EG12243
EG12386	EG12243
EG10821	EG12243
EG10317	EG12243
EG12615	EG12243
EG10164	EG12243
EG12301	EG12243
EG12242	EG12243
EG10457	EG12243
EG10325	EG12243
G7072	EG12243
EG11544	EG12243
G0-10694	EG11544
EG10061	EG11544
EG10731	EG11544
EG12243	EG11544
EG12242	EG11544
EG11544	EG11544
EG11609	EG11544
G6789	EG11544
G7072	EG11544
EG11356	EG11544
EG10457	EG11544
EG10164	EG11544
EG12386	EG12243
EG10821	EG12243
EG10457	EG10821
EG10317	EG12243
EG10440	EG10317
EG10441	EG10317
EG10900	EG10317
EG10230	EG10317
EG10164	EG10317
EG10317	EG10317
EG12615	EG12243
EG12615	EG12615
EG10164	EG12243
EG10338	EG10164
EG10164	EG10164
EG10317	EG10164
EG12301	EG12243
EG12301	EG12301
EG12242	EG12243
EG10935	EG12242
EG10731	EG12242
G0-8914	EG12242
EG10728	EG12242
EG11544	EG12242
G6789	EG12242
EG12243	EG12242
EG12301	EG12242
EG12242	EG12242
EG10457	EG12242
EG10325	EG12242
EG10547	EG12242
EG12386	EG12242
EG10457	EG12243
EG10166	EG10457
EG10317	EG10457
EG12243	EG10457
G7047	EG10457
EG10457	EG10457
EG10325	EG12243
EG10440	EG10325
EG10441	EG10325
EG10359	EG10325
EG10325	EG10325
EG10061	EG10325
G7072	EG12243
EG10385	G7072
EG10547	G7072
EG10359	G7072
EG10325	G7072
G7072	G7072
EG11544	EG11490
G0-10694	EG11544
EG10061	EG11544
EG10061	EG10061
EG10325	EG10061
EG10731	EG11544
G0-8867	EG10731
G0-8866	EG10731
EG10731	EG10731
EG12243	EG11544
EG11966	EG12243
EG10061	EG12243
G0-8914	EG12243
EG10728	EG12243
EG12243	EG12243
EG11544	EG12243
EG12386	EG12243
EG10821	EG12243
EG10317	EG12243
EG12615	EG12243
EG10164	EG12243
EG12301	EG12243
EG12242	EG12243
EG10457	EG12243
EG10325	EG12243
G7072	EG12243
EG12242	EG11544
EG10935	EG12242
EG10731	EG12242
G0-8914	EG12242
EG10728	EG12242
EG11544	EG12242
G6789	EG12242
EG12243	EG12242
EG12301	EG12242
EG12242	EG12242
EG10457	EG12242
EG10325	EG12242
EG10547	EG12242
EG12386	EG12242
EG11544	EG11544
G0-10694	EG11544
EG10061	EG11544
EG10731	EG11544
EG12243	EG11544
EG12242	EG11544
EG11544	EG11544
EG11609	EG11544
G6789	EG11544
G7072	EG11544
EG11356	EG11544
EG10457	EG11544
EG10164	EG11544
EG11609	EG11544
EG11609	EG11609
EG10457	EG11609
G7072	EG11609
G6789	EG11544
EG10821	G6789
EG11609	G6789
EG12386	G6789
G6789	G6789
EG10731	G6789
EG10457	G6789
G7072	EG11544
EG10385	G7072
EG10547	G7072
EG10359	G7072
EG10325	G7072
G7072	G7072
EG11356	EG11544
EG10457	EG11356
EG10320	EG11356
EG10319	EG11356
EG10440	EG11356
EG10441	EG11356
G6745	EG11356
G6546	EG11356
G6165	EG11356
EG11212	EG11356
EG10457	EG11544
EG10166	EG10457
EG10317	EG10457
EG12243	EG10457
G7047	EG10457
EG10457	EG10457
EG10164	EG11544
EG10338	EG10164
EG10164	EG10164
EG10317	EG10164
EG11356	EG11490
EG10457	EG11356
EG10166	EG10457
EG10317	EG10457
EG12243	EG10457
G7047	EG10457
EG10457	EG10457
EG10320	EG11356
G0-8899	EG10320
EG10457	EG10320
EG10164	EG10320
G7575	EG10320
G0-8882	EG10320
G0-8868	EG10320
G0-8871	EG10320
EG31116	EG10320
EG12116	EG10320
G7947	EG10320
EG11356	EG10320
G6165	EG10320
EG10672	EG10320
EG12123	EG10320
EG11449	EG10320
EG10821	EG10320
EG10820	EG10320
EG10359	EG10320
EG10440	EG10320
EG10441	EG10320
EG10319	EG11356
G0-8899	EG10319
EG10457	EG10319
EG10164	EG10319
G7575	EG10319
G0-8882	EG10319
G0-8868	EG10319
G0-8871	EG10319
EG31116	EG10319
EG12116	EG10319
G7947	EG10319
EG11356	EG10319
G6165	EG10319
EG10672	EG10319
EG12123	EG10319
EG11449	EG10319
EG10821	EG10319
EG10820	EG10319
EG10359	EG10319
EG10440	EG10319
EG10441	EG10319
EG10440	EG11356
EG10230	EG10440
EG11212	EG10440
EG10440	EG10440
EG10441	EG10440
EG10441	EG11356
EG10440	EG10441
EG10441	EG10441
EG10230	EG10441
G6745	EG11356
G6745	G6745
G6546	EG11356
EG10125	G6546
G6444	G6546
EG11615	G6546
EG10338	G6546
EG12008	G6546
EG10440	G6546
EG10441	G6546
EG10672	G6546
G6546	G6546
EG10164	G6546
G0-8880	G6546
G0-10592	G6546
G0-8867	G6546
G0-8863	G6546
G0-8899	G6546
G0-8882	G6546
G0-8868	G6546
EG12006	G6546
EG10457	G6546
G7571	G6546
EG10020	G6546
EG10821	G6546
EG10820	G6546
G6864	G6546
EG11356	G6546
G6165	EG11356
G6165	G6165
EG11212	EG11356
EG12242	EG11490
EG10935	EG12242
EG10215	EG10935
G7072	EG10935
EG11447	EG10935
EG10731	EG12242
G0-8867	EG10731
G0-8866	EG10731
EG10731	EG10731
G0-8914	EG12242
EG10935	G0-8914
EG10821	G0-8914
EG12243	G0-8914
EG10547	G0-8914
EG12242	G0-8914
EG10728	EG12242
EG10728	EG10728
G7072	EG10728
EG11544	EG12242
G0-10694	EG11544
EG10061	EG11544
EG10731	EG11544
EG12243	EG11544
EG12242	EG11544
EG11544	EG11544
EG11609	EG11544
G6789	EG11544
G7072	EG11544
EG11356	EG11544
EG10457	EG11544
EG10164	EG11544
G6789	EG12242
EG10821	G6789
EG11609	G6789
EG12386	G6789
G6789	G6789
EG10731	G6789
EG10457	G6789
EG12243	EG12242
EG11966	EG12243
EG10061	EG12243
G0-8914	EG12243
EG10728	EG12243
EG12243	EG12243
EG11544	EG12243
EG12386	EG12243
EG10821	EG12243
EG10317	EG12243
EG12615	EG12243
EG10164	EG12243
EG12301	EG12243
EG12242	EG12243
EG10457	EG12243
EG10325	EG12243
G7072	EG12243
EG12301	EG12242
EG12301	EG12301
EG12242	EG12242
EG10935	EG12242
EG10731	EG12242
G0-8914	EG12242
EG10728	EG12242
EG11544	EG12242
G6789	EG12242
EG12243	EG12242
EG12301	EG12242
EG12242	EG12242
EG10457	EG12242
EG10325	EG12242
EG10547	EG12242
EG12386	EG12242
EG10457	EG12242
EG10166	EG10457
EG10317	EG10457
EG12243	EG10457
G7047	EG10457
EG10457	EG10457
EG10325	EG12242
EG10440	EG10325
EG10441	EG10325
EG10359	EG10325
EG10325	EG10325
EG10061	EG10325
EG10547	EG12242
EG11544	EG10547
G7047	EG10547
EG30063	EG10547
G0-8867	EG10547
EG10457	EG10547
EG11212	EG10547
EG10547	EG10547
G7072	EG10547
EG10070	EG10547
EG12386	EG12242
EG10317	EG11490
EG10440	EG10317
EG10230	EG10440
EG11212	EG10440
EG10440	EG10440
EG10441	EG10440
EG10441	EG10317
EG10440	EG10441
EG10441	EG10441
EG10230	EG10441
EG10900	EG10317
EG10230	EG10900
EG10900	EG10900
EG10230	EG10317
EG10164	EG10230
EG10230	EG10230
EG10164	EG10317
EG10338	EG10164
EG10164	EG10164
EG10317	EG10164
EG10317	EG10317
EG10440	EG10317
EG10441	EG10317
EG10900	EG10317
EG10230	EG10317
EG10164	EG10317
EG10317	EG10317
EG10164	EG11490
EG10338	EG10164
EG10728	EG10338
EG10164	EG10164
EG10338	EG10164
EG10164	EG10164
EG10317	EG10164
EG10317	EG10164
EG10440	EG10317
EG10441	EG10317
EG10900	EG10317
EG10230	EG10317
EG10164	EG10317
EG10317	EG10317
EG10547	EG11490
EG11544	EG10547
G0-10694	EG11544
EG10061	EG11544
EG10731	EG11544
EG12243	EG11544
EG12242	EG11544
EG11544	EG11544
EG11609	EG11544
G6789	EG11544
G7072	EG11544
EG11356	EG11544
EG10457	EG11544
EG10164	EG11544
G7047	EG10547
EG10230	G7047
EG10531	G7047
EG30063	EG10547
EG11434	EG30063
EG10958	EG30063
EG10466	EG30063
EG10467	EG30063
EG11366	EG30063
EG10672	EG30063
EG10061	EG30063
EG12116	EG30063
EG10547	EG30063
EG10457	EG30063
EG10440	EG30063
EG10441	EG30063
G0-8867	EG10547
EG11795	G0-8867
EG10061	G0-8867
EG10457	EG10547
EG10166	EG10457
